comp,y
La0.5Sr0.5Co0.8Fe0.2O3,2.001295712
La0.6Sr0.4Co0.2Fe0.8O3,1.15254497
La0.6Sr0.4Co0.2Fe0.8O3,1.746517727
La0.6Sr0.4Co0.2Fe0.8O3,1.356288996
La0.7Sr0.3Co0.8Fe0.2O3,2.330877749
La0.4Sr0.6Co0.2Fe0.7Nb0.1O3,0.643198458
La0.8Sr0.2Co0.4Mn0.6O3,1.8
La0.8Sr0.2Co0.4Mn0.6O3,1.2
La0.1Sr0.9Co0.85Nb0.15O3,-0.086858896
La0.8Sr0.2Co0.8Ni0.2O3,3.031435964
La0.3Sr0.7Cr0.3Fe0.7O3,1.249199551
La0.75Sr0.25Cr0.5Mn0.5O3,1.55541003
La0.7Sr0.3CuO3,2.825776197
La0.6Sr0.4Cu0.2Fe0.8O3,0.050259178
La0.7Sr0.3Cu0.4Fe0.6O3,2.55339586
La0.8Sr0.2Cu0.2Fe0.8O3,1.846838642
La0.8Sr0.2FeO3,3.291223787
La0.5Sr0.5FeO3,1.503447888
La0.6Sr0.4FeO3,1.835992544
La0.6Sr0.4FeO3,1.624989893
La0.5Sr0.5Fe0.8Cu0.2O3,1.663371567
La0.5Sr0.5Fe0.9Nb0.1O3,0.313083855
La0.85Sr0.15MnO3,5.05523458
La0.85Sr0.15MnO3,3.059600893
La0.8Sr0.2MnO3,3.447239265
La0.8Sr0.2MnO3,3.169900812
La0.8Sr0.2MnO3,3.71791326
La0.7Sr0.3MnO3,2.665433223
La0.8Sr0.2Mn0.8Cu0.2O3,2.599411041
La0.7Sr0.3Mn0.9Mg0.1O3,2.448285982
La0.7Sr0.3Mn0.8Mg0.2O3,1.880135536
La0.8Sr0.2Mn0.9Sc0.1O3,1.308367002
La0.8Sr0.2Sc0.2Mn0.8O3,1.95591234
La0.4Sr0.6Ni0.2Fe0.8O3,1.536644884
La0.3Sr0.7Ti0.3Fe0.7O3,1.041407885
NdBa0.75Ca0.25Co2O5,-0.434294482
NdBa0.5Sr0.5Co1.5Fe0.5O5,-0.10857362
NdBaCoMnO5,1.454179723
NdBaCo1.5Mn0.5O5,1.114435097
NdBaCo2O5,0.543407248
NdBaCu2O5,1.640105084
NdBaFe2O5,1.487287075
NdBaMnO5,2.050894091
NdBa0.5Sr0.5Co1.5Mn0.5O5,0.10857362
NdBa0.5Sr0.5Co2O5,0.838922676
NdBa0.5Sr0.5Cu2O5,-0.562331676
NdCoO3,3.045181113
Nd0.5Sr0.5CoO3,0.690507762
Nd0.5Sr0.5Co0.5Fe0.5O3,0.162860431
NdSrCo2O5,0.347435586
Nd0.5Sr0.5Fe0.8Cu0.2O3,1.018943256
PrBa0.8Ca0.2Co1.5Fe0.5O5,-0.217147241
PrBa0.8Ca0.2Co2O5,0.217147241
PrBaCo1.5Fe0.5O5,1.301029996
PrBaCo2O5,-0.632114501
PrBaCo2O5,0.027018131
PrBaCo2O5,0.477121255
PrBaCo1.9Sc0.1O5,-0.282249276
PrBaFe2O5,1.092911274
PrBa(Fe0.8Sc0.2)2O5,0.841633574
PrBaMn1.5Fe0.5O5,1.980083461
PrBaMn2O5,2.032360582
PrBa0.5Sr0.25Ca0.5Co2O5,-0.347435586
PrBa0.5Sr0.5CoCuO5,0.173717793
PrBa0.5Sr0.5CoFeO5,-0.173717793
PrBa0.5Sr0.5Co2O5,0.116196845
PrBa0.5Sr0.5Co2O5,0.423978249
Pr0.8Ca0.2BaCo2O5,0.29024927
PrNi0.6Co0.4O3,0.77815125
Pr0.3Sr0.7CoO3,1.395181113
Pr0.5Sr0.5CoO3,0.977359566
Pr0.8Sr0.2CoO3,1.740362689
Pr0.3Sr0.7Co0.3Fe0.7O3,1.34702458
Pr0.4Sr0.6Co0.2Fe0.8O3,-1.040980683
Pr0.6Sr0.4Co0.2Fe0.8O3,1.602059991
Pr0.4Sr0.6Co0.16Fe0.64Mo0.2O3,-0.015157866
Pr0.4Sr0.6Co0.2Fe0.7Nb0.1O3,0.078106352
Pr0.6Sr0.4Co0.18Fe0.72Sc0.1O3,1.278753601
PrSrCo2O5,0.260576689
Pr0.8Sr0.2FeO3,3.138720971
Pr0.5Sr0.5Fe0.8Cu0.2O3,0.442909317
Pr0.5Sr0.5Fe0.8Cu0.2O3,1.233416189
Pr0.7Sr0.3Fe0.8Ni0.2O3,3.388098318
Sr0.95Co0.8Nb0.1Ta0.1O3,-0.260576689
Sr0.95Ag0.05Nb0.1Co0.9O3,-0.662987171
SmBaCo2O5,0.597788992
SmBaCo2O5,0.569881614
SmBaFe2O5,1.104376011
SmBa0.5Sr0.5Co2O5,0.241429448
SmBa0.5Sr0.5Co1.5Cu0.5O5,0.260576689
SmBa0.5Sr0.5Cu2O5,-0.609851383
SmBa0.5Sr0.5CuFeO5,1.223966528
Sr0.9Ce0.1CoO3,3.207728679
Sr0.9Ce0.1Co0.9Nb0.1O3,0.042575512
Sr0.9Ce0.1FeO3,2.808621558
Sr0.9Ce0.1Fe0.8Ni0.2O3,0.113943352
Sr0.9Ce0.1Fe0.9Ni0.1O3,0.243038049
Sr0.8Ce0.2MnO3,1.802299619
Sr0.8Ce0.2Mn0.8Co0.2O3,1.068457627
SrCo0.85Fe0.15O3,0.023285163
SrCo0.4Fe0.5Nb0.1O3,-0.167666065
SrCo0.7Fe0.2Nb0.1O3,-0.013178189
SrCo0.85Fe0.1P0.05O3,-0.277695783
SrCo0.9Nb0.1O3,-0.258910121
SrCo0.9Nb0.1O3,0.480673537
SrCo0.8Nb0.2O3,-0.217147241
SrCo0.8Nb0.2O3,0.373392125
SrCo0.8Nb0.1Ta0.1O3,-0.781730067
SrCoO3,0.965457164
SrCoO3,1.594506874
SrCo0.8Sc0.2O3,1.079181246
SrCo0.9Sc0.1O3,1
SrCo0.75Sc0.125Nb0.125O3,-0.53900072
SrSc0.175Nb0.025Co0.8O3,-0.096910013
SrCo0.9Ti0.1O3,0.63856369
SrCo0.8Ti0.2O3,0.646802238
SrCo0.9Ta0.1O3,-0.434294482
SrCo0.8Ta0.2O3,-0.586297551
SrCo0.6Ta0.4O3,0.686668455
SrCo0.9Y0.1O3,0.5
SrCo0.8Y0.2O3,1.05
SrFe0.75Cr0.25O3,1.305048724
SrFe0.9Hf0.1O3,0.244896877
SrFe0.8Mo0.2O3,1.441502261
SrFe0.9Nb0.1O3,0.749076969
SrFe0.8Nb0.2O3,0.861994066
SrFe0.8Nb0.1Ta0.1O3,0.659159341
SrFeO3,1.20923999
SrFeO3,0.71791326
SrFeO3,1.350766351
SrFeO3,1.720078545
SrSc0.175Nb0.025Fe0.8O3,0.419442721
SrSc0.025Nb0.075Fe0.9O3,0.397940009
SrFe0.90Si0.10O3,1.94531533
SrFe0.9Ti0.1O3,0.10795749
SrFe0.9Ti0.1O3,0.714652886
SrFe0.8Ta0.2O3,1.956442392
SrFe0.9Zr0.1O3,1.493014764
SrFe0.8Zr0.2O3,1.108412923
Sr0.9K0.1FeO3,0.866279001
Sr0.9K0.1Fe0.1Co0.9O3,-0.382051741
Sr0.9K0.1Fe0.3Co0.7O3,0.047229995
Sr0.9K0.1Fe0.5Co0.5O3,0.187530119
Sr0.95K0.05Fe0.8Nb0.1Ta0.1O3,0.079181246
Sr0.95Li0.05Fe0.8Nb0.1Ta0.1O3,-0.045757491
SmCoO3,3.714586028
Sr0.95Na0.05Fe0.8Nb0.1Ta0.1O3,0.397940009
Sm0.2Sr0.8CoO3,1.204119983
Sm0.5Sr0.5CoO3,0.536555125
Sm0.5Sr0.5CoO3,2.313445632
Sm0.8Sr0.2CoO3,1.146128036
Sm0.5Sr0.5Co0.8Fe0.2O3,1.908396619
Sm0.5Sr0.5Co0.9Nb0.1O3,0.10857362
Sm0.3Sr0.7Nb0.08Co0.92O3,-0.385102784
SmSrCo2O5,0.434294482
SrSc0.075Ta0.025Fe0.9O3,0
Sm0.5Sr0.5FeO3,1.183561264
Sm0.5Sr0.5MnO3,3.834465995
SrTi0.65Fe0.35O3,1.08551372
SrTi0.2Fe0.8O3,1.006332474
Sr0.7Y0.3CoO3,1.650319031
YBaCo2O5,-0.247726492
YBaCo2O5,1.153212514
YBaFe2O5,2.072924706
YBa0.5Sr0.5Co2O5,0.954242509
