comp,y
Sn8Ta8O24,-4.535
Sn8V8O24,-3.271
Y8Hf8O24,-5.141
Ba8Nb6P2O24,-4.379
Ba8Nb4P4O24,-2.857
Ba8Nb2P6O24,-3.357
Ba8Nb6Sb2O24,-4.11
Ba8Nb4Sb4O24,-3.114
Ba8Nb2Sb6O24,-3.097
Ba8Ta2Nb6O24,-4.436
Ba8Ta4Nb4O24,-4.583
Ba8Ta6Nb2O24,-4.8
Ba8Nb6V2O24,-3.838
Ba8Nb2V6O24,-3.244
Be8Nb8O24,-4.279
Be8P8O24,-2.043
Be8Sb8O24,-2.181
Be8Ta8O24,-5.189
Be8V8O24,-3.168
Ba6Be2Nb8O24,-4.114
Ba6Be2Nb6P2O24,-4.152
Ba6Be2Nb4P4O24,-2.947
Ba6Be2Nb2P6O24,-3.397
Ba6Be2Sb8O24,-2.456
Ba6Be2Nb6Sb2O24,-4.074
Ba6Be2Nb4Sb4O24,-1.715
Ba6Be2Nb2Sb6O24,-2.155
Ba6Be2Ta8O24,-4.482
Ba6Be2Ta2Nb6O24,-4.267
Ba6Be2Ta4Nb4O24,-4.445
Ba6Be2Ta6Nb2O24,-4.28
Ba6Be2V8O24,-3.735
Ba6Be2Nb6V2O24,-3.824
Ba6Be2Nb4V4O24,-3.427
Ba6Be2Nb2V6O24,-3.209
Ca4Be4Nb6P2O24,-4.385
Ca4Be4Nb4P4O24,-4.79
Ca4Be4Nb2P6O24,-5.397
Ca4Be4Nb6Sb2O24,-4.132
Ca4Be4Nb4Sb4O24,-2.171
Ca4Be4Nb2Sb6O24,-2.102
Ca4Be4Ta2Nb6O24,-4.516
Ca4Be4Ta4Nb4O24,-4.675
Ca4Be4Ta6Nb2O24,-4.749
Ca4Be4Nb6V2O24,-4.107
Ca4Be4Nb4V4O24,-3.731
Ca4Be4Nb2V6O24,-3.392
Mg4Be4Nb6P2O24,-4.341
Mg4Be4Nb4P4O24,-4.484
Mg4Be4Nb2P6O24,-4.635
Mg4Be4Nb6Sb2O24,-3.941
