epoch,loss,data,set
1,0.6396005153656006,0,train
1,0.6058728098869324,0,validation
2,0.39507290720939636,0,train
2,0.37359780073165894,0,validation
3,0.332170695066452,0,train
3,0.31825461983680725,0,validation
4,0.28567156195640564,0,train
4,0.27507805824279785,0,validation
5,0.2570098042488098,0,train
5,0.2474290281534195,0,validation
6,0.23255454003810883,0,train
6,0.23045042157173157,0,validation
7,0.24316298961639404,0,train
7,0.24595217406749725,0,validation
8,0.20129156112670898,0,train
8,0.20975077152252197,0,validation
9,0.18431688845157623,0,train
9,0.19321361184120178,0,validation
10,0.16546756029129028,0,train
10,0.1866244077682495,0,validation
11,0.15654146671295166,0,train
11,0.17380507290363312,0,validation
12,0.1468488723039627,0,train
12,0.17122675478458405,0,validation
13,0.14394870400428772,0,train
13,0.16626708209514618,0,validation
14,0.13317756354808807,0,train
14,0.16291199624538422,0,validation
15,0.12449298053979874,0,train
15,0.15273606777191162,0,validation
16,0.13031941652297974,0,train
16,0.1584729105234146,0,validation
17,0.14720751345157623,0,train
17,0.17377859354019165,0,validation
18,0.13099287450313568,0,train
18,0.16357985138893127,0,validation
19,0.1296202391386032,0,train
19,0.15486320853233337,0,validation
20,0.12198186665773392,0,train
20,0.15065795183181763,0,validation
21,0.11663859337568283,0,train
21,0.14419613778591156,0,validation
22,0.11621159315109253,0,train
22,0.15181677043437958,0,validation
23,0.11615148931741714,0,train
23,0.1500173807144165,0,validation
24,0.1130576804280281,0,train
24,0.14451536536216736,0,validation
25,0.12254127115011215,0,train
25,0.15582020580768585,0,validation
26,0.11876922845840454,0,train
26,0.15483899414539337,0,validation
27,0.10904302448034286,0,train
27,0.14624729752540588,0,validation
28,0.10813575237989426,0,train
28,0.1551138460636139,0,validation
29,0.1103198230266571,0,train
29,0.14231663942337036,0,validation
30,0.1214338093996048,0,train
30,0.15976978838443756,0,validation
31,0.1007101982831955,0,train
31,0.1432579606771469,0,validation
32,0.10200869292020798,0,train
32,0.1428712010383606,0,validation
33,0.09837202727794647,0,train
33,0.1386711597442627,0,validation
34,0.10642313957214355,0,train
34,0.14745588600635529,0,validation
35,0.107798270881176,0,train
35,0.14374671876430511,0,validation
36,0.10133349150419235,0,train
36,0.1392524689435959,0,validation
37,0.1011800691485405,0,train
37,0.14249657094478607,0,validation
38,0.09322289377450943,0,train
38,0.1334361881017685,0,validation
39,0.09356951713562012,0,train
39,0.1390407532453537,0,validation
40,0.10566098988056183,0,train
40,0.1416895091533661,0,validation
41,0.09420666098594666,0,train
41,0.13256481289863586,0,validation
42,0.10267373919487,0,train
42,0.1461542844772339,0,validation
43,0.09237439930438995,0,train
43,0.1387493759393692,0,validation
44,0.10647726058959961,0,train
44,0.1412520557641983,0,validation
45,0.08752797544002533,0,train
45,0.13485752046108246,0,validation
46,0.09009769558906555,0,train
46,0.12926988303661346,0,validation
47,0.08546742051839828,0,train
47,0.13361476361751556,0,validation
48,0.0869796872138977,0,train
48,0.13120682537555695,0,validation
49,0.10261522233486176,0,train
49,0.14471200108528137,0,validation
50,0.0877472460269928,0,train
50,0.13908210396766663,0,validation
51,0.08104387670755386,0,train
51,0.13459588587284088,0,validation
52,0.08041729032993317,0,train
52,0.13429902493953705,0,validation
53,0.08711203932762146,0,train
53,0.1335238367319107,0,validation
54,0.07759378105401993,0,train
54,0.12688525021076202,0,validation
55,0.08394575864076614,0,train
55,0.13544587790966034,0,validation
56,0.08313531428575516,0,train
56,0.13467031717300415,0,validation
57,0.09560412913560867,0,train
