epoch,loss,data,set
1,213.7234344482422,0,train
1,201.5769500732422,0,validation
2,145.1083221435547,0,train
2,137.42845153808594,0,validation
3,113.30802154541016,0,train
3,105.66641998291016,0,validation
4,96.5648193359375,0,train
4,92.98479461669922,0,validation
5,84.98081970214844,0,train
5,84.60509490966797,0,validation
6,76.73326110839844,0,train
6,79.09791564941406,0,validation
7,70.41097259521484,0,train
7,76.13702392578125,0,validation
8,66.31986236572266,0,train
8,73.77864074707031,0,validation
9,63.05001449584961,0,train
9,71.05134582519531,0,validation
10,60.63788986206055,0,train
10,69.00629425048828,0,validation
11,58.82139587402344,0,train
11,66.88811492919922,0,validation
12,56.90630340576172,0,train
12,64.55624389648438,0,validation
13,55.276588439941406,0,train
13,63.06016159057617,0,validation
14,53.967735290527344,0,train
14,62.61284255981445,0,validation
15,52.663185119628906,0,train
15,60.86085891723633,0,validation
16,51.64458084106445,0,train
16,59.796112060546875,0,validation
17,49.936767578125,0,train
17,58.10845947265625,0,validation
18,48.829917907714844,0,train
18,57.04285430908203,0,validation
19,47.957454681396484,0,train
19,56.24764633178711,0,validation
20,48.41633987426758,0,train
20,56.64925765991211,0,validation
21,45.627655029296875,0,train
21,53.75139236450195,0,validation
22,44.8347282409668,0,train
22,52.82968521118164,0,validation
23,43.638954162597656,0,train
23,51.61382293701172,0,validation
24,42.6723747253418,0,train
24,50.510398864746094,0,validation
25,41.542816162109375,0,train
25,49.059593200683594,0,validation
26,40.58052062988281,0,train
26,48.07429504394531,0,validation
27,40.42782974243164,0,train
27,47.48533248901367,0,validation
28,38.56768035888672,0,train
28,45.925804138183594,0,validation
29,37.64638137817383,0,train
29,45.465999603271484,0,validation
30,37.26287078857422,0,train
30,44.89618682861328,0,validation
31,36.83973693847656,0,train
31,44.89552688598633,0,validation
32,35.455142974853516,0,train
32,43.65518569946289,0,validation
33,34.71778869628906,0,train
33,42.884193420410156,0,validation
34,34.21930694580078,0,train
34,42.33279037475586,0,validation
35,34.26050567626953,0,train
35,42.22162628173828,0,validation
36,33.41291046142578,0,train
36,41.59452819824219,0,validation
37,32.30215835571289,0,train
37,40.34355163574219,0,validation
38,31.694822311401367,0,train
38,40.32575225830078,0,validation
39,31.416696548461914,0,train
39,39.694175720214844,0,validation
40,31.490097045898438,0,train
40,39.50033950805664,0,validation
41,30.84858512878418,0,train
